Filename                                                                   | Count |     Bytes |  Time
---------------------------------------------------------------------------+-------+-----------+------
_layouts/post.html                                                         |   564 |  3611.55K | 4.422
_includes/themes/amp/post.html                                             |   564 |  3606.59K | 3.725
_layouts/default.html                                                      |   572 | 16723.12K | 3.704
_includes/themes/amp/default.html                                          |   572 | 16718.09K | 3.458
_includes/head.html                                                        |   572 | 11975.03K | 3.220
_includes/metadata.json                                                    |   572 |   463.61K | 2.198
_includes/setup                                                            |  1618 |    11.06K | 1.197
_includes/tags_list                                                        |   561 |    74.21K | 0.614
_posts/2008-05-30-interesting-perl-behavior.md                             |     1 |     2.25K | 0.453
sitemap.xml                                                                |     1 |    62.43K | 0.235
archive.html                                                               |     1 |   121.25K | 0.099
_includes/posts_collate                                                    |     1 |   121.24K | 0.093
atom.xml                                                                   |     1 |  1748.27K | 0.069
tags.html                                                                  |     1 |   109.08K | 0.062
_includes/pages_list                                                       |     2 |   103.95K | 0.054
index.md                                                                   |     1 |   107.19K | 0.021
sitemap.txt                                                                |     1 |    35.12K | 0.020
_posts/2014-01-04-visualizing-runkeeper-data-in-r.md                       |     1 |    52.19K | 0.015
_posts/2013-05-17-adding-attachments-to-django-postman.md                  |     1 |    18.64K | 0.014
_posts/2013-06-07-fun-with-prolog-priceonomics-puzzle.md                   |     1 |    17.78K | 0.011
_posts/2017-02-09-traffic-efficiency.md                                    |     1 |     1.08K | 0.010
_posts/2017-06-24-unsubscribe-and-wait-10-days.md/#excerpt                 |     1 |     0.01K | 0.010
_posts/2014-10-01-normalizing-a-csv-file-using-mysql.md                    |     1 |    19.67K | 0.009
_layouts/page.html                                                         |     6 |   247.37K | 0.009
_posts/2016-07-17-coding-puzzle-word-transformation-through-valid-words.md |     1 |    14.13K | 0.009
_posts/2016-12-06-efficiency-vs-expressiveness.md                          |     1 |    21.74K | 0.009
_posts/2013-07-17-scraping-yahoo-fantasy-football-stats-with-scrapy.md     |     1 |    14.69K | 0.009
_posts/2013-07-30-run-django-under-nginx-virtualenv-and-supervisor.md      |     1 |     8.91K | 0.009
_posts/2016-11-13-recursive-redirects-with-aws-lambda.md                   |     1 |     7.69K | 0.008
_posts/2017-10-29-philosophy-of-code.md                                    |     1 |     2.47K | 0.008
_posts/2016-08-29-food-identification-with-googles-cloud-vision.md         |     1 |    17.20K | 0.008
_posts/2017-05-04-security-across-multiple-aws-regions.md                  |     1 |     6.18K | 0.007
_posts/2015-02-26-lists-and-localstorage.md                                |     1 |     7.78K | 0.006
_posts/2014-03-11-website-load-times-nyc-vs-beijing.md                     |     1 |    15.58K | 0.006
_posts/2015-08-31-two-factor-authentication-hell.md                        |     1 |     1.51K | 0.006
_posts/2016-05-21-analyzing-imdb-data-step-1---cleaning-and-qa.md          |     1 |    22.55K | 0.006
_posts/2014-02-05-visualizing-gps-data-in-r.md                             |     1 |    19.41K | 0.006
_layouts/lincoln.html                                                      |     1 |    21.75K | 0.005
_posts/2014-12-31-redirect-recursion.md                                    |     1 |     9.84K | 0.005
_posts/2015-07-29-the-go-interface.md                                      |     1 |     5.20K | 0.005
_posts/2014-02-10-using-virtualenv-in-production.md                        |     1 |     8.36K | 0.005
_posts/2017-06-20-getting-amp-into-rss.md                                  |     1 |     2.62K | 0.005
_posts/2014-07-23-when-one-door-closes-another-door-opens.md/#excerpt      |     1 |     0.45K | 0.004
_posts/2014-11-09-some-simple-aws-tools.md                                 |     1 |     1.70K | 0.004
_posts/2013-02-01-improving-online-programming-classes.md/#excerpt         |     1 |     0.52K | 0.004
_includes/themes/amp/lincoln.html                                          |     1 |    21.75K | 0.004
_posts/2013-08-26-extract-info-from-a-web-page-using-javascript.md         |     1 |     4.70K | 0.004
_posts/2014-08-18-trick-your-users-into-staying.md/#excerpt                |     1 |     0.27K | 0.004
_posts/2016-07-09-consumer-protection-for-ux.md/#excerpt                   |     1 |     0.50K | 0.004
_posts/2014-10-18-link-bait-titles-are-a-race-to-zero.md/#excerpt          |     1 |     0.25K | 0.004

                    done in 15.304 seconds.
 Auto-regeneration: disabled. Use --watch to enable.
