yearmo,cnt
1832-03,1
1836-06,1
1836-12,1
1837-03,1
1837-05,1
1838-04,1
1839-01,1
1839-06,1
1839-12,1
1840-03,1
1840-11,1
1840-12,3
1841-01,2
1841-02,1
1841-06,2
1841-09,1
1842-01,1
1842-02,5
1842-03,1
1842-07,1
1842-08,2
1842-09,3
1842-10,1
1842-11,1
1843-03,3
1843-04,1
1843-05,2
1844-05,1
1845-03,1
1846-01,2
1846-04,1
1846-05,1
1847-10,1
1847-12,3
1848-01,2
1848-02,1
1848-03,2
1848-04,1
1848-05,1
1848-06,2
1848-07,1
1849-02,1
1849-04,4
1849-05,2
1849-06,2
1851-01,2
1851-11,2
1852-07,1
1853-05,1
1854-09,1
1855-03,1
1855-06,1
1856-05,1
1856-12,1
1857-06,1
1857-12,1
1858-02,1
1858-06,5
1858-07,6
1858-08,4
1858-09,2
1858-10,1
1858-11,1
1859-03,2
1859-04,1
1859-05,1
1859-07,1
1859-09,1
1859-12,1
1860-02,4
1860-03,2
1860-04,1
1860-05,2
1860-06,1
1860-07,2
1860-08,2
1860-09,2
1860-10,2
1860-11,1
1860-12,1
1861-01,1
1861-02,30
1861-03,9
1861-04,9
1861-05,8
1861-06,8
1861-07,7
1861-08,6
1861-09,7
1861-10,6
1861-11,4
1861-12,4
1862-01,12
1862-02,4
1862-03,8
1862-04,8
1862-05,49
1862-06,28
1862-07,20
1862-08,17
1862-09,22
1862-10,15
1862-11,9
1862-12,20
1863-01,22
1863-02,6
1863-03,6
1863-04,11
1863-05,32
1863-06,40
1863-07,19
1863-08,23
1863-09,34
1863-10,31
1863-11,16
1863-12,17
1864-01,14
1864-02,17
1864-03,17
1864-04,15
1864-05,11
1864-06,11
1864-07,17
1864-08,9
1864-09,14
1864-10,6
1864-11,6
1864-12,12
1865-01,18
1865-02,14
1865-03,18
1865-04,19
