yearq,cnt
1832-Q1,1
1836-Q2,1
1836-Q4,1
1837-Q1,1
1837-Q2,1
1838-Q2,1
1839-Q1,1
1839-Q2,1
1839-Q4,1
1840-Q1,1
1840-Q4,4
1841-Q1,3
1841-Q2,2
1841-Q3,1
1842-Q1,7
1842-Q3,6
1842-Q4,2
1843-Q1,3
1843-Q2,3
1844-Q2,1
1845-Q1,1
1846-Q1,2
1846-Q2,2
1847-Q4,4
1848-Q1,5
1848-Q2,4
1848-Q3,1
1849-Q1,1
1849-Q2,8
1851-Q1,2
1851-Q4,2
1852-Q3,1
1853-Q2,1
1854-Q3,1
1855-Q1,1
1855-Q2,1
1856-Q2,1
1856-Q4,1
1857-Q2,1
1857-Q4,1
1858-Q1,1
1858-Q2,5
1858-Q3,12
1858-Q4,2
1859-Q1,2
1859-Q2,2
1859-Q3,2
1859-Q4,1
1860-Q1,6
1860-Q2,4
1860-Q3,6
1860-Q4,4
1861-Q1,40
1861-Q2,25
1861-Q3,20
1861-Q4,14
1862-Q1,24
1862-Q2,85
1862-Q3,59
1862-Q4,44
1863-Q1,34
1863-Q2,83
1863-Q3,76
1863-Q4,64
1864-Q1,48
1864-Q2,37
1864-Q3,40
1864-Q4,24
1865-Q1,50
1865-Q2,19
